@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE DIA NUMERIC
@ATTRIBUTE LOBJOIS NUMERIC
@ATTRIBUTE BASE NUMERIC
@ATTRIBUTE UNIT NUMERIC
@ATTRIBUTE SP NUMERIC
@ATTRIBUTE LS NUMERIC
@ATTRIBUTE LP NUMERIC
@ATTRIBUTE GNN NUMERIC

@DATA
ssp-0.046166496845693274.cnf,1.0,10.01,2.0,27.28,2.13,4.04,4.5600000000000005,?,0
Timetable_C_331_E_45_Cl_22_S_26.cnf,1.0,10.06,2.17,52.07,3.63,11.25,5.77,?,107.40876408000258
size_5_5_5_i092_r12.cnf,1.0,0.41,2.0,2.86,0.01,0.2,5.0600000000000005,?,0.5521860499975446
ncc_none_3001_7_3_3_1_31_435991723.cnf,1.0,10.32,9.87,?,2.89,?,11.95,?,986.8781370200004
combined-crypto1-wff-seed-101-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.72,2.0,20.12,0.02,0.49,4.66,?,0
b2005-p3-14x14c17h9-Ser6-0.cnf,1.0,?,?,?,?,?,?,?,0
atco_enc1_opt2_10_16.cnf,1.0,10.01,2.0,20.52,0.24,5.38,4.82,?,8.129456177994143
newpol7-6.cnf,1.0,10.01,2.0,22.410000000000004,7.95,2.31,4.52,?,0
jkkk-one-one-10-30-unsat.cnf,1.0,3.65,2.0,20.18,0.23,2.3,5.119999999999999,?,0
newpol6-7.cnf,1.0,10.01,2.0,21.810000000000002,4.82,2.61,4.51,?,0
170058143.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.300000000000001,?,0.6048442419996718
dislog_a13_x13_n23.cnf,1.0,10.01,2.0,9.72,0.0,0.7,4.87,1085.18,3.846595417002391
combined-crypto1-wff-seed-8-wffvars-450-cryptocplx-40-overlap-2.cnf,1.0,0.99,2.0,20.060000000000002,0.02,0.62,4.720000000000001,?,0
DLTM_twitter249_74_10.cnf,1.0,10.01,2.0,6.75,0.02,1.21,4.640000000000001,?,7.651911704000668
ncc_none_12477_5_3_3_1_0_435991723.cnf,1.0,10.03,4.81,?,1.71,?,?,?,730.049899785
prime2209-84.cnf,1.0,0.4,2.0,2.56,0.0,0.94,4.77,60.2,0
apn-sbox6-cut4-helpbox26.cnf,1.0,10.01,2.01,28.52,6.99,4.76,4.52,?,0
grain-55-80-0s0-seed-125-45-init-40.cnf,1.0,1.51,2.0,20.12,0.32,0.99,4.36,?,0
Timetable_C_226_E_34_Cl_15_S_12.cnf,1.0,10.02,2.02,29.990000000000002,0.02,6.51,4.83,?,65.84400522000215
4g_6color_366_070_06.cnf,1.0,10.2,2.57,49.09,38.18,20.75,11.42,?,47.58656494399838
baseballcover14with25.cnf,1.0,?,?,?,?,?,?,?,45.38354796900239
sted1_0x0_n438-636.cnf,1.0,10.01,2.0,22.340000000000003,0.65,5.69,4.640000000000001,471.63,0
size_5_5_5_i041_r12.cnf,1.0,0.42,2.0,2.81,0.01,0.19,5.1899999999999995,?,0.5773761380005453
Steiner-81-21-bce.cnf,1.0,0.06,2.0,10.02,0.0,0.69,5.12,?,0
ps_300_314_20.cnf,1.0,10.08,2.16,?,0.24,10.92,7.12,?,253.154401257998
009-80-8.cnf,1.0,10.01,2.01,21.23,0.02,6.66,5.029999999999999,948.18,0
Kakuro-easy-127-ext.xml.hg_6.cnf,1.0,?,2.08,?,3.43,?,?,?,0
rbsat-v2400c266431gyes6.cnf,1.0,10.01,2.01,21.51,16.95,6.14,4.43,?,0
GreenTao_2-5-5_34308.cnf,1.0,10.01,2.06,24.0,0.12,7.46,5.470000000000001,?,0
170059081.cnf,1.0,0.01,2.0,0.01,0.0,0.0,6.25,?,0.6743946849965141
size_4_5_5_i035_w31_r9.cnf,1.0,0.15,2.0,1.27,0.0,0.1,5.279999999999999,?,0.5697719129966572
ncc_none_3_16_3_3_0_0_435991723.cnf,1.0,10.82,37.22,?,?,36.17,15.07,?,1568.6193083379983
LED_round_29-32_faultAt_29_fault_injections_5_seed_1579630418.cnf,1.0,10.01,2.0,2.9,0.01,0.49,5.09,?,0
58-134003.cnf,1.0,10.01,2.08,23.31,1.82,6.83,5.12,?,0
schur-triples-7-90.cnf,1.0,10.01,2.01,23.46,1.61,6.63,4.779999999999999,?,0
ncc_none_12477_5_3_3_0_0_435991723.cnf,1.0,?,?,?,?,?,?,?,803.5316895079995
ccp-s8-facto4.cnf,1.0,1.42,2.0,25.48,0.82,2.38,4.4,?,0
abw-N-bcsstk07.mtx-w44.cnf,1.0,10.56,2.75,?,0.41,21.33,10.85,?,0
vlsat2_57038_10572502.dimacs.cnf,1.0,?,?,?,?,?,?,?,0
sv-comp19_prop-reachsafety.newton_2_2_true-unreach-call_true-termination.i-witness.cnf,1.0,10.01,2.0,30.080000000000002,0.07,6.58,4.640000000000001,?,0
simon03:sat02bis:k2fix_gr_2pinvar_w8.used-as.sat04-349.cnf,1.0,10.01,2.05,21.21,0.16,6.02,4.74,?,0
Steiner-15-7-bce.cnf,1.0,0.0,0.45,0.0,0.0,0.0,0.8,?,0
4g_6color_180_100_02.cnf,1.0,?,?,?,?,?,?,?,196.6173473519993
bv-term-small-rw_1220.smt2.cnf,1.0,1.84,2.0,1.33,0.05,0.16,5.42,?,0
IBM_FV_2004_rule_batch_1_31_1_SAT_dat.k90.debugged.cnf,1.0,10.03,2.0,23.51,1.03,5.15,4.640000000000001,?,14.226747016000443
f6bidw.cnf,1.0,10.01,2.0,23.43,1.49,5.76,4.74,438.14,12.877068363995932
mod2c-rand3bip-sat-220-2.sat05-2489.reshuffled-07.cnf,1.0,0.02,2.0,0.22,0.0,0.08,5.17,?,0
6g_5color_170_020_04.cnf,1.0,10.01,2.02,20.770000000000003,0.11,2.05,4.79,?,4.775777829003346
combined-crypto1-wff-seed-102-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.71,2.0,20.14,0.03,0.49,4.7,?,0
fermat-834855329100173267.cnf,1.0,3.53,2.0,1.29,0.06,0.34,4.97,?,0
abw-N-bcsstk07.mtx-w35.cnf,1.0,10.37,2.82,?,1.81,20.03,10.63,?,0
vlsat2_24450_2770239.dimacs.cnf,1.0,10.07,2.78,53.449999999999996,?,31.48,7.83,?,199.7131235600027
ssp-0.497665446947731.cnf,1.0,10.01,2.0,7.76,0.31,2.29,4.51,?,0
Kakuro-easy-157-ext.xml.hg_4.cnf,1.0,11.09,2.02,?,0.7,?,27.799999999999997,?,0
newpol29-4.cnf,1.0,10.18,2.12,?,?,20.65,10.190000000000001,?,0
crafted_n12_d6_c4_num9.cnf,1.0,?,?,?,?,?,?,?,0
TT7F-33-24E.cnf,1.0,10.13,2.07,51.47,3.51,48.62,8.92,?,0
size_5_5_5_i235_r12.cnf,1.0,0.57,2.0,3.49,0.01,0.22,5.029999999999999,?,0.5655081219993008
full-bf-ga-9-ce.cnf,1.0,10.01,2.0,20.64,0.38,0.89,4.97,?,0
Timetable_C_181_E_34_Cl_12_S_10.cnf,1.0,10.02,2.0,26.79,0.03,6.36,4.619999999999999,?,55.34884126600082
baseballcover12with22_and2positions.cnf,1.0,?,?,?,?,?,?,?,58.28503466799884
Kakuro-easy-041-ext.xml.hg_4.cnf,1.0,10.13,2.0,27.2,0.04,11.53,7.359999999999999,?,0
contest03-SGI_30_50_30_20_3-dir.sat05-440.reshuffled-07.cnf,1.0,2.34,2.0,20.46,0.33,2.86,4.300000000000001,?,0
simon-mixed-s02bis-05.cnf,1.0,1.77,2.0,0.9,0.01,0.21,5.390000000000001,?,0
TT7F-33-24D.cnf,1.0,10.09,2.24,42.71,3.53,49.0,8.989999999999998,?,0
bv-term-small-rw_350.smt2.cnf,1.0,1.72,2.0,0.95,0.11,0.16,5.4399999999999995,?,0
combined-crypto1-wff-seed-110-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.72,2.0,20.16,0.02,0.49,4.69,149.98,0
b1904P3-8x8c11h0SAT.cnf,1.0,10.02,2.0,22.34,0.51,5.96,4.859999999999999,?,0
size_4_5_5_i028_w31_r9.cnf,1.0,0.15,2.0,1.27,0.0,0.1,5.3,?,0.5198356380000178
TT7F-34-24E.cnf,1.0,10.1,2.2,63.040000000000006,5.08,?,11.52,?,0
w19-2.0.cnf,1.0,10.01,2.0,28.12,0.03,5.09,4.51,244.45,0
Timetable_C_392_E_50_Cl_26_S_26.cnf,1.0,10.03,2.09,61.550000000000004,1.36,13.63,6.15,?,123.41945893400045
size_5_5_5_i131_r12.cnf,1.0,0.41,2.0,2.7899999999999996,0.01,0.18,5.15,?,1.0093448319967138
01-integer-programming-20-30-40.cnf,1.0,10.12,2.0,?,24.05,10.47,6.720000000000001,?,0
ncc_none_2_18_8_3_1_0_435991723.cnf,1.0,10.14,?,?,3.38,?,15.940000000000001,?,746.9134433670006
ncc_none_2_19_5_3_1_0_435991723.cnf,1.0,?,?,?,?,?,?,?,3523.0008065039983
dislog_a12_x12_n22.cnf,1.0,10.01,2.0,13.24,0.0,0.79,4.9399999999999995,?,4.177388044001418
Kakuro-easy-065-ext.xml.hg_3.cnf,1.0,10.89,2.02,?,0.12,?,22.89,?,0
DLTM_twitter454_70_11.cnf,1.0,10.01,2.0,2.54,0.01,0.41,4.88,377.68,2.5824177860001782
combined-crypto1-wff-seed-3-wffvars-450-cryptocplx-40-overlap-2.cnf,1.0,0.99,2.0,20.119999999999997,0.03,0.63,4.68,?,0
TT7F-33-25.cnf,1.0,10.03,2.02,44.269999999999996,3.08,35.43,7.6,?,0
DLTM_twitter690_74_15.cnf,1.0,10.01,2.01,10.45,0.02,1.68,4.5600000000000005,?,10.617633117000878
baseballcover12with25_and5positions.cnf,1.0,?,?,?,?,?,?,?,65.14728480299891
SGI_30_70_20_60_10-dir.shuffled-as.sat03-144.cnf,1.0,0.99,2.0,20.3,0.15,1.69,4.35,?,0
battleship-27-54-sat.cnf,1.0,0.77,2.0,20.05,0.08,1.23,4.8,?,0
full-bf-ga-7-ce.cnf,1.0,3.55,2.0,20.28,0.34,0.37,5.02,?,0
b2005-p5-14x14c17h9-Ser3-0.cnf,1.0,?,?,?,?,?,?,?,0
vlsat2_37758_5364539.dimacs.cnf,1.0,?,4.97,?,?,?,?,?,424.0090825119987
beempgsol5b1.cnf,1.0,5.91,2.0,17.220000000000002,0.41,0.65,5.35,?,3.732213515002513
preimage_80r_491m_160h_seed_391.cnf,1.0,10.01,2.0,16.86,0.05,1.55,4.68,?,12.216832134996366
Kakuro-easy-097-ext.xml.hg_4.cnf,1.0,10.14,2.07,86.09,0.21,?,?,?,0
SocialGolfers-6-6-6-cp_c18.cnf,1.0,10.01,2.0,20.39,0.71,1.5,4.4,?,0
TT7F-33-26.cnf,1.0,10.03,2.04,35.7,2.25,24.23,6.57,?,0
course0.2_2018_3-sc2018.cnf,1.0,?,?,?,?,?,?,?,0
rbsat-v2640c305320gyes10.cnf,1.0,10.01,2.0,21.860000000000003,28.04,6.21,4.470000000000001,?,0
dislog_a18_x18_n28.cnf,1.0,10.01,2.02,21.25,0.01,1.85,4.75,?,9.677314011998533
DLTM_twitter304_77_11.cnf,1.0,10.01,2.0,4.44,0.01,0.7,4.74,?,4.72240340099961
53-131674.cnf,1.0,10.02,2.16,23.51,2.15,7.51,5.17,?,0
b2005-p4-12x12c10h7-Ser4-0.cnf,1.0,10.01,2.0,32.629999999999995,0.73,9.46,6.27,?,0
DLTM_twitter249_74_11.cnf,1.0,10.01,2.0,6.7299999999999995,0.02,1.19,4.57,?,7.438455666999289
4g_5color_170_060_05.cnf,1.0,10.11,2.17,31.740000000000002,13.7,10.01,6.95,?,21.587376783000764
DLTM_twitter774_83_17.cnf,1.0,10.01,2.0,7.3,0.03,0.97,4.65,?,6.321716660000675
sgp_5-6-8.sat05-2669.reshuffled-07.cnf,1.0,10.04,2.01,23.45,6.24,4.87,5.05,?,0
w19-20.1.cnf,1.0,10.01,2.0,31.5,0.07,5.37,4.48,?,0
b2005-p4-14x14c17h9-Ser5-0.cnf,1.0,?,?,?,?,?,?,?,0
ps_200_323_70.cnf,1.0,10.04,2.01,?,0.49,9.25,6.13,?,90.17283862699696
filter_iir_true-unreach-call.c.cnf,1.0,10.05,2.02,?,1.71,10.62,6.82,?,0
ls16-normalized.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,?,11.64,?,4.390000000000001,?,0
TT7F-34-24C.cnf,1.0,10.2,2.18,61.69,4.76,?,11.39,?,0
dislog_a19_x19_n29.cnf,1.0,10.01,2.0,21.58,0.0,2.17,4.68,?,10.887620653003978
bivium-40-200-0s0-0x92fc13b11169afbb2ef11a684d9fe9a19e743cd6aa5ce23fb5-19.cnf,1.0,0.07,2.0,1.54,0.04,0.07,5.62,874.31,0
Kakuro-easy-125-ext.xml.hg_4.cnf,1.0,10.38,2.47,?,1.08,?,?,?,0
ctl_4291_567_9_unsat_pre.cnf,1.0,10.01,2.01,20.6,0.05,3.03,4.6,?,6.24374383900431
baseballcover15with25.cnf,1.0,?,?,?,?,?,?,?,46.13192750399685
22930-0426-195.smt2.cnf,1.0,0.65,2.0,0.6399999999999999,0.02,0.11,5.32,?,0
fclqcolor-18-14-11.cnf.gz.CP3-cnfmiter.cnf,1.0,10.01,2.0,32.05,2.83,?,4.24,?,0
ncc_none_5047_6_3_3_0_0_41.cnf,1.0,10.28,7.19,?,1.92,23.23,9.18,?,696.4630478539984
6s153.cnf,1.0,10.01,2.0,20.860000000000003,0.66,1.13,5.01,?,3.159432796999681
TT7F-34-24B.cnf,1.0,10.05,2.07,53.339999999999996,5.35,?,11.530000000000001,?,0
170223547.cnf,1.0,0.01,2.0,0.01,0.0,0.01,6.21,?,0.2992769260017667
49-132779.cnf,1.0,10.03,2.1,23.29,1.8,6.86,5.25,?,0
atco_enc2_opt2_05_9-sc2014.cnf,1.0,10.01,2.0,21.98,0.42,5.93,4.800000000000001,800.72,0
goldb-heqc-k2mul.cnf,1.0,10.01,2.0,20.6,0.27,1.3,4.38,?,0
g2-hwmcc15deep-6s516r-k17.cnf,1.0,10.01,2.0,20.91,0.95,1.57,5.029999999999999,?,0
crafted_n10_d6_c3_num18.cnf,1.0,?,?,?,?,?,?,?,521.1691727500001
dislog_a14_x14_n24.cnf,1.0,10.01,2.0,16.12,0.0,1.04,4.890000000000001,1059.02,4.539494814000136
DLTM_twitter634_77_14.cnf,1.0,10.01,2.0,6.390000000000001,0.02,0.87,4.720000000000001,?,6.018058576999465
mp1-rubikcube312.cnf,1.0,3.4,2.0,20.27,0.11,0.57,4.41,?,0
vlsat2_30744_3925645.dimacs.cnf,1.0,10.02,3.51,79.27,?,?,9.530000000000001,?,289.3880992310005
baseballcover14with25_and2positions.cnf,1.0,?,?,?,?,?,?,?,56.75210882000101
newpol34-4.cnf,1.0,?,?,?,?,?,?,?,0
harder-php-025-024.sat05-1191.reshuffled-07.cnf,1.0,0.15,2.0,9.37,0.02,0.26,4.89,?,0
6g_5color_166_100_01.cnf,1.0,?,?,?,?,?,?,?,227.8636962439996
size_5_5_5_i058_r12.cnf,1.0,0.42,2.0,2.8,0.01,0.18,5.13,?,0.9449312500000816
sted6_0x0-135.cnf,1.0,2.3,2.0,20.110000000000003,0.23,0.42,4.68,?,0
velev-pipe-uns-1.0-9.cnf,1.0,10.03,2.23,61.93,?,15.48,6.33,?,0
g2-T85.2.1.cnf,1.0,?,2.02,?,2.28,?,?,?,0
w16-5.cnf,1.0,10.01,2.0,20.919999999999998,1.14,2.34,4.84,?,0
6g_5color_164_100_01.cnf,1.0,?,?,?,?,?,?,?,230.69175202300173
hcp_CP16_16.cnf,1.0,?,?,?,?,?,?,?,80.74735657500423
bv-term-small-rw_206.smt2.cnf,1.0,1.85,2.0,2.8499999999999996,0.44,0.19,5.27,?,0
baseballcover13with25.cnf,1.0,?,?,?,?,?,?,?,45.60714677999931
Steiner-135-32-bce.cnf,1.0,0.42,2.0,20.14,0.03,3.53,4.76,?,0
full-bg-gb-9-ce.cnf,1.0,10.01,2.0,20.65,0.34,0.88,4.9399999999999995,?,0
preimage_80r_491m_160h_seed_407.cnf,1.0,10.01,2.0,15.5,0.02,1.56,4.67,?,11.051869385000144
ps_300_322_20.cnf,1.0,10.14,2.21,?,0.73,11.17,7.1,?,263.3548042830007
w16-6a.cnf,1.0,8.59,2.0,20.57,2.11,2.09,4.640000000000001,?,0
combined-crypto1-wff-seed-121-wffvars-500-cryptocplx-31-overlap-2.cnf,1.0,0.7,2.0,20.09,0.03,0.49,4.79,?,0
unsat-set-a-clqcolor-16-10-11.sat05-1253.reshuffled-07.cnf,1.0,0.3,2.0,20.93,0.06,1.08,4.46,2.0,0
preimage_80r_493m_160h_seed_249.cnf,1.0,10.01,2.0,16.72,0.03,1.55,4.630000000000001,?,11.482244733997504
Steiner-405-71-bce.cnf,1.0,10.01,2.0,23.23,0.07,5.56,4.28,?,0
hid-uns-enc-6-1-0-0-0-0-3251.cnf,1.0,0.29,2.0,0.21,0.0,0.11,6.21,?,0
53-129696.cnf,1.0,10.02,2.02,23.240000000000002,1.71,6.83,5.1,?,0
